Input Parameter,Output Parameter,r,p-value,|r|
sphericity,WSS_mean_cycle4,-0.570202326720551,4.3915895348501516e-17,0.570202326720551
tortuosity,%_area_TAWSS_below_0.4,-0.5093279210775478,2.0983704462768483e-13,0.5093279210775478
neck_diameter_1,WSS_mean_cycle4,0.49197695648930384,1.7485355406301163e-12,0.49197695648930384
convexity,OSI_mean,0.4547598339331567,1.1254409196128807e-10,0.4547598339331567
neck_diameter_2,95%_WSS_systolic,-0.4319001357741956,1.1450716969707467e-09,0.4319001357741956
convexity,%_area_OSI_above_0.3,0.4266934291941586,1.8968502274340954e-09,0.4266934291941586
max_diameter,WSS_mean_cycle4,-0.4088868397101964,1.0003012836005504e-08,0.4088868397101964
average_radius,WSS_mean_cycle4,-0.3808765539857267,1.13167620251684e-07,0.3808765539857267
convexity,%_area_TAWSS_below_0.4,0.3682181284147351,3.151676961414951e-07,0.3682181284147351
neck_diameter_1,TAWSS_mean,0.36803000691164195,3.198971880000444e-07,0.36803000691164195
tortuosity,TAWSS_mean,0.35984624599406495,6.059876235231517e-07,0.35984624599406495
volume,WSS_mean_cycle4,-0.3542391197076086,9.292907445115242e-07,0.3542391197076086
sphericity,TAWSS_mean,-0.3494215342166354,1.3331271594355898e-06,0.3494215342166354
convexity,TAWSS_mean,-0.3479580737582165,1.4858251146208062e-06,0.3479580737582165
convexity,95%_WSS_systolic,-0.3447725623636534,1.8778631054448267e-06,0.3447725623636534
tortuosity,95%_WSS_systolic,0.3197891088621424,1.0796224840557054e-05,0.3197891088621424
neck_diameter_1,95%_WSS_systolic,-0.31441122260764454,1.5423910590553912e-05,0.31441122260764454
surface_area,WSS_mean_cycle4,-0.30352961432203013,3.109131336029774e-05,0.30352961432203013
convexity,WSS_mean_cycle4,-0.27761600546632387,0.0001480624726475782,0.27761600546632387
tortuosity,%_area_OSI_above_0.3,-0.2741201010284677,0.00018069092426134528,0.2741201010284677
neck_diameter_1,%_area_TAWSS_below_0.4,-0.2689071073403101,0.00024197774662355046,0.2689071073403101
tortuosity,OSI_mean,-0.2575134880547201,0.00044897240400387935,0.2575134880547201
surface_area,OSI_mean,-0.25112805818349654,0.0006273041498104792,0.25112805818349654
neck_diameter_2,OSI_mean,0.2464707735979943,0.0007963566566974709,0.2464707735979943
volume,OSI_mean,-0.24162451111643882,0.0010159877060018894,0.24162451111643882
max_diameter,OSI_mean,-0.23699274755040556,0.0012765779985862468,0.23699274755040556
average_radius,TAWSS_mean,-0.2350929560153476,0.00140014981757724,0.2350929560153476
distal_diameter,95%_WSS_systolic,-0.22841502482199263,0.0019263366852826443,0.22841502482199263
tortuosity,WSS_mean_cycle4,0.22754408847965427,0.0020068664203608823,0.22754408847965427
sphericity,%_area_TAWSS_below_0.4,0.205686531340005,0.005342996509052977,0.205686531340005
neck_diameter_2,%_area_OSI_above_0.3,0.20497499840310018,0.005507518794836038,0.20497499840310018
max_diameter,TAWSS_mean,-0.1960615147964337,0.007987786419638133,0.1960615147964337
surface_area,%_area_OSI_above_0.3,-0.18759028094129276,0.011217551955702459,0.18759028094129276
sphericity,OSI_mean,-0.18560356093508693,0.012124085421515704,0.18560356093508693
volume,TAWSS_mean,-0.17662953622135275,0.017068475580244033,0.17662953622135275
volume,%_area_OSI_above_0.3,-0.17429307512328995,0.018613515335455664,0.17429307512328995
max_diameter,%_area_OSI_above_0.3,-0.16967867864124306,0.022024245071913893,0.16967867864124306
distal_diameter,%_area_TAWSS_below_0.4,0.1613416762450336,0.029562938132799765,0.1613416762450336
surface_area,TAWSS_mean,-0.1366612295825122,0.06582720007149785,0.1366612295825122
sphericity,%_area_OSI_above_0.3,-0.11285162391747486,0.1293142410190415,0.11285162391747486
average_radius,%_area_TAWSS_below_0.4,0.11240329794829743,0.13085285770930397,0.11240329794829743
distal_diameter,TAWSS_mean,-0.10507443575402214,0.15804544359071365,0.10507443575402214
neck_diameter_2,WSS_mean_cycle4,0.09958032976228323,0.18106504979596072,0.09958032976228323
average_radius,OSI_mean,-0.08810221871218277,0.23693756824400194,0.08810221871218277
sphericity,95%_WSS_systolic,0.08454171409053565,0.25649911671553044,0.08454171409053565
neck_diameter_1,%_area_OSI_above_0.3,-0.08257486313107334,0.26776932127203823,0.08257486313107334
neck_diameter_2,%_area_TAWSS_below_0.4,0.0764171750884763,0.30521167925152104,0.0764171750884763
max_diameter,%_area_TAWSS_below_0.4,0.06822746365090104,0.36010554645284176,0.06822746365090104
average_radius,95%_WSS_systolic,-0.06417130365727035,0.3894358213717493,0.06417130365727035
max_diameter,95%_WSS_systolic,0.06409880349079605,0.38997284812111604,0.06409880349079605
volume,%_area_TAWSS_below_0.4,0.06078993878053694,0.41495500777666405,0.06078993878053694
neck_diameter_1,OSI_mean,-0.04516549485244252,0.544895473155015,0.04516549485244252
distal_diameter,%_area_OSI_above_0.3,0.0425183109080527,0.5687393525625906,0.0425183109080527
volume,95%_WSS_systolic,0.03168955797220144,0.6710724103851489,0.03168955797220144
surface_area,%_area_TAWSS_below_0.4,0.0302998161036665,0.6847104582382538,0.0302998161036665
average_radius,%_area_OSI_above_0.3,-0.030236223476528115,0.6853370033086672,0.030236223476528115
surface_area,95%_WSS_systolic,0.02452722939257421,0.7424126493099568,0.02452722939257421
distal_diameter,OSI_mean,0.024205616191961026,0.7456736522791256,0.024205616191961026
distal_diameter,WSS_mean_cycle4,0.017554229501328872,0.8140488822773883,0.017554229501328872
neck_diameter_2,TAWSS_mean,-0.0001773872352285326,0.9981037522007125,0.0001773872352285326
