Input Parameter,Output Parameter,r,p-value,|r|
neck_diameter_1,WSS_mean_cycle4,0.8383647311941401,2.6083589841362233e-49,0.8383647311941401
convexity,OSI_mean,0.6276487947437996,2.5037923740544948e-21,0.6276487947437996
convexity,%_area_OSI_above_0.3,0.6184376977912774,1.3745575275743003e-20,0.6184376977912774
convexity,95%_WSS_systolic,-0.53829462386678,4.606968964214378e-15,0.53829462386678
convexity,TAWSS_mean,-0.5039995466657137,4.0756999793837536e-13,0.5039995466657137
convexity,%_area_TAWSS_below_0.4,0.4997769258255499,6.841686000055802e-13,0.4997769258255499
neck_diameter_2,OSI_mean,0.4757058877438064,1.1489007850774897e-11,0.4757058877438064
neck_diameter_2,%_area_OSI_above_0.3,0.4502941251983108,1.7949761564753492e-10,0.4502941251983108
surface_area,OSI_mean,-0.4064045497172174,1.2516652133944844e-08,0.4064045497172174
volume,OSI_mean,-0.399144425773247,2.3862270489148278e-08,0.399144425773247
neck_diameter_2,WSS_mean_cycle4,0.37710047251389495,1.5431173407849364e-07,0.37710047251389495
neck_diameter_1,TAWSS_mean,0.37478879106492563,1.8621277543949806e-07,0.37478879106492563
tortuosity,95%_WSS_systolic,0.3702170895232505,2.6887550570075015e-07,0.3702170895232505
tortuosity,TAWSS_mean,0.3511699613203683,1.1702891021258641e-06,0.3511699613203683
tortuosity,%_area_OSI_above_0.3,-0.34364523623545956,2.0388539869808055e-06,0.34364523623545956
neck_diameter_1,%_area_TAWSS_below_0.4,-0.3425877837790438,2.2017486315585644e-06,0.3425877837790438
neck_diameter_1,95%_WSS_systolic,0.336221798222012,3.476636850468147e-06,0.336221798222012
max_diameter,OSI_mean,-0.32943726543733154,5.594953694953072e-06,0.32943726543733154
tortuosity,OSI_mean,-0.3259449991768748,7.1163149321612026e-06,0.3259449991768748
sphericity,OSI_mean,-0.3090024494883101,2.192900055460316e-05,0.3090024494883101
tortuosity,%_area_TAWSS_below_0.4,-0.30342922031786324,3.1289044604201346e-05,0.30342922031786324
surface_area,%_area_OSI_above_0.3,-0.28267826988743816,0.00011044474173529312,0.28267826988743816
volume,%_area_OSI_above_0.3,-0.2691101127793912,0.00023926742689501642,0.2691101127793912
distal_diameter,WSS_mean_cycle4,0.22792606801686652,0.0019711774432235227,0.22792606801686652
sphericity,TAWSS_mean,-0.22199249918793493,0.0025963483276962808,0.22199249918793493
distal_diameter,%_area_OSI_above_0.3,-0.22077977761841305,0.002744381803297629,0.22077977761841305
sphericity,WSS_mean_cycle4,-0.22065412055527286,0.0027601495170560208,0.22065412055527286
sphericity,%_area_TAWSS_below_0.4,0.21886040446323793,0.002994352984958256,0.21886040446323793
average_radius,OSI_mean,-0.20850434055602438,0.004733833564644018,0.20850434055602438
distal_diameter,OSI_mean,-0.20685080162835168,0.005083266610579386,0.20685080162835168
max_diameter,%_area_OSI_above_0.3,-0.18790851588557247,0.011078029071971954,0.18790851588557247
convexity,WSS_mean_cycle4,-0.18636345440918256,0.0117700138575446,0.18636345440918256
sphericity,95%_WSS_systolic,-0.1771404652383465,0.01674588465772614,0.1771404652383465
neck_diameter_2,95%_WSS_systolic,-0.16676613768461662,0.02444402456701013,0.16676613768461662
neck_diameter_2,%_area_TAWSS_below_0.4,0.15894694744890897,0.03209855195517518,0.15894694744890897
sphericity,%_area_OSI_above_0.3,-0.15053940048535483,0.042512359651633004,0.15053940048535483
surface_area,WSS_mean_cycle4,0.14993698013118736,0.04335655064822073,0.14993698013118736
distal_diameter,%_area_TAWSS_below_0.4,-0.14807284553604394,0.04605826992767614,0.14807284553604394
neck_diameter_2,TAWSS_mean,-0.1405138979301702,0.05849459976154153,0.1405138979301702
average_radius,%_area_TAWSS_below_0.4,0.13303267047314796,0.07340417927628307,0.13303267047314796
average_radius,TAWSS_mean,-0.1217791202314728,0.10149018727863793,0.1217791202314728
max_diameter,%_area_TAWSS_below_0.4,0.10514339293990196,0.15777119072205467,0.10514339293990196
volume,WSS_mean_cycle4,0.09711410057817713,0.19216574419448787,0.09711410057817713
distal_diameter,TAWSS_mean,0.09030914207584968,0.22535097744334792,0.09030914207584968
max_diameter,TAWSS_mean,-0.08922219857525585,0.23100640502705072,0.08922219857525585
average_radius,%_area_OSI_above_0.3,-0.0845710426032849,0.2563335718690208,0.0845710426032849
average_radius,95%_WSS_systolic,-0.08139160328339778,0.2747097444711012,0.08139160328339778
max_diameter,95%_WSS_systolic,-0.06354683442192535,0.3940760416291696,0.06354683442192535
distal_diameter,95%_WSS_systolic,0.05389292004400153,0.4699433553784352,0.05389292004400153
average_radius,WSS_mean_cycle4,0.05339994823486708,0.4740208717901778,0.05339994823486708
tortuosity,WSS_mean_cycle4,-0.03718575018268553,0.6182167966275564,0.03718575018268553
neck_diameter_1,OSI_mean,0.03660457331449634,0.6237201746459637,0.03660457331449634
volume,%_area_TAWSS_below_0.4,0.03485830077638892,0.6403810322389816,0.03485830077638892
surface_area,95%_WSS_systolic,0.0323756545343446,0.6643785568403029,0.0323756545343446
volume,TAWSS_mean,-0.02128793450913053,0.7754575592164943,0.02128793450913053
surface_area,TAWSS_mean,0.019985996574251534,0.7888572100636414,0.019985996574251534
max_diameter,WSS_mean_cycle4,0.00855951038052769,0.9086982926832722,0.00855951038052769
neck_diameter_1,%_area_OSI_above_0.3,0.006950715096042224,0.9258039979100443,0.006950715096042224
surface_area,%_area_TAWSS_below_0.4,-0.005581193669314233,0.9403927573140319,0.005581193669314233
volume,95%_WSS_systolic,-0.0022660325563128255,0.9757800567640103,0.0022660325563128255
