time_s,inlet_p_Pa
0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000278e-02,2.615430722538860095e+02
1.000000000000000056e-01,2.375712512046631844e+02
1.499999999999999944e-01,6.503836837305699703e+01
2.000000000000000111e-01,-1.365714702979274620e+01
2.500000000000000000e-01,-5.359906737564766388e+01
2.999999999999999889e-01,-1.531748633678756448e+02
3.499999999999999778e-01,-1.442265987564766760e+02
4.000000000000000222e-01,-2.079915276440414473e+01
4.500000000000000111e-01,-4.735346416956088156e+00
5.000000000000000000e-01,1.962255641055699584e+01
5.500000000000000444e-01,3.278512912435232352e+01
5.999999999999999778e-01,3.375085551165803111e+01
6.500000000000000222e-01,2.440019485362694596e+01
6.999999999999999556e-01,-2.459738405168394149e+00
7.500000000000000000e-01,-6.811849797409325724e+00
8.000000000000000444e-01,-1.024170977072538946e+01
8.499999999999999778e-01,-1.094268709106217763e+01
9.000000000000000222e-01,-3.494710134844559501e+00
9.499999999999999556e-01,1.022070171036269493e+01
1.000000000000000000e+00,2.598149344818652935e+02
1.050000000000000044e+00,2.362560754274611554e+02
1.100000000000000089e+00,6.632661699222798291e+01
1.149999999999999911e+00,-1.178750595142487079e+01
1.199999999999999956e+00,-5.241548558678756109e+01
1.250000000000000000e+00,-1.575557005699481863e+02
1.300000000000000044e+00,-1.431911888341969075e+02
1.350000000000000089e+00,-7.783928528961139648e+01
1.399999999999999911e+00,-4.732442141238341726e+00
1.449999999999999956e+00,1.930573344169689065e+01
1.500000000000000000e+00,3.242963814637305831e+01
1.550000000000000044e+00,3.350193057642486849e+01
1.600000000000000089e+00,2.429582460362694007e+01
1.649999999999999911e+00,-2.456410118445595536e+00
1.699999999999999956e+00,-6.817707993134713540e+00
1.750000000000000000e+00,-1.027163974948186542e+01
1.800000000000000044e+00,-1.097497241178756333e+01
1.850000000000000089e+00,-3.549301068523316172e+00
1.899999999999999911e+00,1.017062518898963752e+01
1.949999999999999956e+00,2.586012585103626975e+02
2.000000000000000000e+00,2.347075122279792936e+02
2.049999999999999822e+00,6.645042842487046642e+01
2.100000000000000089e+00,-1.135404623406735602e+01
2.149999999999999911e+00,-9.027245843005182735e+01
2.200000000000000178e+00,-1.569076973056994575e+02
2.250000000000000000e+00,-1.620442060362694292e+02
2.299999999999999822e+00,-7.771918677059584013e+01
2.350000000000000089e+00,-5.122157628754145264e+00
2.399999999999999911e+00,1.903525267695854950e+01
2.450000000000000178e+00,3.238692110751295417e+01
2.500000000000000000e+00,3.360700486139896270e+01
2.549999999999999822e+00,2.443859369689118566e+01
2.600000000000000089e+00,-2.317224258380829127e+00
2.649999999999999911e+00,-6.720454743782382501e+00
2.700000000000000178e+00,-1.016804277772020626e+01
2.750000000000000000e+00,-9.853907205440414430e+00
2.799999999999999822e+00,-3.425221718134715321e+00
2.850000000000000089e+00,1.025422909844559527e+01
2.899999999999999911e+00,2.571931164766839402e+02
2.950000000000000178e+00,2.333240371632124663e+02
3.000000000000000000e+00,6.675393656347149829e+01
3.049999999999999822e+00,-1.054182648601036298e+01
3.100000000000000089e+00,-8.935302891580310813e+01
3.149999999999999911e+00,-1.562379427590673515e+02
3.200000000000000178e+00,-1.615363946373057047e+02
3.250000000000000000e+00,-7.730774939080311015e+01
3.299999999999999822e+00,-5.293035934504663587e+00
3.350000000000000089e+00,1.880817202853627279e+01
3.399999999999999911e+00,3.215591037823833176e+01
3.450000000000000178e+00,3.336388212176166235e+01
3.500000000000000000e+00,2.421373577331605986e+01
3.549999999999999822e+00,-2.453761558919689278e+00
3.600000000000000089e+00,-6.811130583290155194e+00
3.649999999999999911e+00,-1.023517612707253832e+01
3.700000000000000178e+00,-9.937273232772021458e+00
3.750000000000000000e+00,-3.547163287435232792e+00
3.799999999999999822e+00,1.010207809896373199e+01
